,Number of Clients,Average,1st,Median,99th
CR-3,1,1996.69,1989,1997,2001
CR-3,5,9085.71,8834,9081,9268
CR-3,10,12094.84,12006,12097,12137
CR-3,20,12173.92,12097,12178,12207
CR-3,30,12228.65,12157,12234,12256
CR-3,40,12262.26,12115,12273,12284
CR-3,50,12282.55,12158,12291,12295
CR-3,100,12303.67,12269,12306,12309
CRAQ-3,1,1995.36,1974,1997,2001
CRAQ-3,5,9939.37,9893,9944,9962
CRAQ-3,10,19583.61,19365,19593,19695
CRAQ-3,20,34091.31,33414,34108,34288
CRAQ-3,30,36194.08,35832,36189,36383
CRAQ-3,40,36300.34,36164,36288,36453
CRAQ-3,50,36367.75,36199,36373,36517
CRAQ-3,100,36640.64,36086,36658,36708
