mode,Writes/s,Reads/s,,,
CR-3,0,12059,,,
CR-3,10,12258,,,
CR-3,20,11988,,,
CR-3,30,12212,,,
CR-3,40,12286,,,
CR-3,50,12352,,,
CR-3,60,11885,,,
CR-3,70,11894,,,
CR-3,80,12059,,,
CR-3,90,12465,,,
CR-3,100,12441,,,
CR-3,148,11928,,,
CR-3,200,11967,,,
CR-3,250,12116,,,
CRAQ-3,0,36796,,,
CRAQ-3,10,34956,,,
CRAQ-3,20,34962,,,
CRAQ-3,30,34289,,,
CRAQ-3,40,34281,,,
CRAQ-3,50,32886,,,
CRAQ-3,60,33597,,,
CRAQ-3,70,32475,,,
CRAQ-3,80,33171,,,
CRAQ-3,90,30975,,,
CRAQ-3,100,31253,,,
CRAQ-3,148,28236,,,
CRAQ-3,200,24997,,,
CRAQ-3,250,22480,,,
,,,,,
