type,Writes/s,Clean/Dirty,
Clean,0,36796,
Clean,10,34927,
Clean,20,34878,
Clean,30,34146,
Clean,40,34087,
Clean,50,32653,
Clean,60,33293,
Clean,70,32125,
Clean,80,32776,
Clean,90,30531,
Clean,100,30762,
Clean,148,27544,
Clean,200,24006,
Clean,250,21220,
Dirty,0,0,
Dirty,10,29,
Dirty,20,84,
Dirty,30,143,
Dirty,40,194,
Dirty,50,234,
Dirty,60,304,
Dirty,70,350,
Dirty,80,395,
Dirty,90,443,
Dirty,100,491,
Dirty,148,691,
Dirty,200,991,
Dirty,250,1260,
Total,0,36796,
Total,10,34956,
Total,20,34962,
Total,30,34289,
Total,40,34281,
Total,50,32886,
Total,60,33597,
Total,70,32475,
Total,80,33171,
Total,90,30975,
Total,100,31253,
Total,148,28236,
Total,200,24997,
Total,250,22480,
